address,초등학교,중학교,고등학교,학원,유치원 및 어린이집,병의원 및 약국,보건소,응급의료기관시설,백화점,대형마트,복합쇼핑센터,시장,헬스장,수영장,체육관,공원,영화관,카페,도서관,놀이터,경로당,사회복지관,등산로,산책로,미세먼지,범죄안전등급,경찰관서,여성안심지킴이집
서울특별시 동대문구 휘경동,중,상,최상,상,상,상,0,중,0,0,0,0,하,0,0,하,0,최상,0,상,최상,0,최상,0,최상,중,중,중
서울특별시 동작구 노량진동,하,0,0,최상,상,최상,0,0,0,0,0,0,하,0,0,중,0,최상,상,0,최상,0,0,0,하,상,0,상
서울특별시 동작구 대방동,상,최상,최상,최상,중,최상,0,0,0,0,중,중,중,중,0,0,0,최상,중,중,최상,상,0,0,하,상,상,상
서울특별시 동작구 동작동,0,0,0,중,0,0,0,0,0,0,0,0,하,0,0,하,0,상,0,하,상,0,0,0,하,상,0,중
서울특별시 동작구 본동,중,0,0,상,상,중,0,0,0,0,0,0,0,0,0,중,0,중,0,하,최상,중,0,0,하,상,중,0
서울특별시 동작구 사당동,최상,상,중,최상,최상,최상,0,0,0,0,상,0,상,중,0,상,상,최상,최상,최상,최상,상,0,0,하,상,상,최상
서울특별시 동작구 상도1동,하,0,0,상,상,상,0,0,0,0,0,0,하,0,0,0,0,최상,중,중,중,중,0,0,하,상,0,하
서울특별시 동작구 상도동,상,최상,0,최상,최상,최상,상,0,0,0,0,0,상,0,0,최상,0,최상,상,최상,최상,0,0,0,하,상,중,상
서울특별시 동작구 신대방동,중,중,중,최상,상,최상,0,중,0,0,0,0,0,0,0,하,0,최상,중,중,최상,0,0,0,하,상,중,중
서울특별시 동작구 흑석동,상,중,0,상,최상,최상,0,중,0,0,0,0,중,0,0,최상,0,최상,0,하,최상,0,0,0,하,상,0,하
서울특별시 마포구 공덕동,하,0,0,상,중,최상,0,0,0,0,0,상,하,0,0,중,0,최상,중,중,최상,0,0,0,최상,중,0,하
서울특별시 마포구 구수동,0,0,0,중,0,중,0,0,0,0,0,0,0,0,0,0,0,중,0,0,0,0,0,0,최상,중,0,0
서울특별시 마포구 노고산동,하,하,0,상,중,최상,0,0,0,0,0,0,하,0,0,중,0,최상,중,0,하,0,0,0,최상,중,0,하
서울특별시 마포구 당인동,0,0,0,하,0,0,0,0,0,0,0,0,0,0,0,하,0,중,0,0,하,0,0,0,최상,중,0,하
서울특별시 마포구 대흥동,하,하,중,최상,상,최상,0,0,0,0,0,0,하,0,0,상,0,최상,0,하,최상,0,0,0,최상,중,0,0
서울특별시 마포구 도화동,하,0,0,상,상,최상,0,0,0,0,0,0,하,중,0,0,0,최상,상,중,최상,0,0,0,최상,중,0,중
서울특별시 마포구 동교동,0,0,0,상,0,최상,0,0,0,0,상,0,중,0,0,0,최상,최상,0,중,중,0,0,0,최상,중,0,하
서울특별시 마포구 마포동,0,0,0,하,0,하,0,0,0,0,0,0,0,0,0,0,0,중,0,하,중,0,0,0,최상,중,0,0
서울특별시 마포구 망원동,중,0,0,최상,중,최상,0,0,0,0,0,중,최상,0,0,0,0,최상,상,상,최상,0,0,0,최상,중,중,상
서울특별시 마포구 상수동,하,0,0,중,0,중,0,0,0,0,0,0,0,0,0,중,0,최상,0,하,상,0,0,0,최상,중,0,0
서울특별시 마포구 상암동,상,하,중,최상,최상,최상,0,0,0,0,0,0,중,0,0,최상,0,최상,중,최상,최상,0,0,0,최상,중,중,최상
서울특별시 마포구 서교동,하,0,0,최상,중,최상,0,0,0,중,0,상,중,0,0,하,중,최상,중,중,중,0,0,0,최상,중,중,최상
서울특별시 마포구 성산동,최상,상,중,최상,상,상,상,0,0,중,0,중,하,중,0,중,중,최상,최상,최상,최상,중,0,0,최상,중,중,중
서울특별시 마포구 신공덕동,0,0,0,상,하,상,0,0,0,중,0,0,0,0,0,하,0,상,중,0,최상,중,0,0,최상,중,0,하
서울특별시 마포구 신수동,하,중,중,상,중,상,0,중,0,0,0,중,하,0,0,하,0,최상,0,하,최상,0,0,0,최상,중,0,0
서울특별시 마포구 신정동,0,0,0,0,0,0,0,0,0,0,0,0,하,0,0,하,0,하,0,0,하,0,0,0,최상,중,0,0
서울특별시 마포구 아현동,중,하,상,최상,중,최상,상,0,0,0,0,0,하,상,0,상,0,최상,상,중,최상,0,0,0,최상,중,중,0
서울특별시 마포구 연남동,0,0,0,상,중,중,0,0,0,0,0,중,0,0,0,0,0,최상,0,중,상,0,0,0,최상,중,중,상
서울특별시 마포구 염리동,중,중,상,최상,상,상,0,0,0,0,0,0,하,0,0,0,0,최상,0,0,최상,0,0,0,최상,중,0,0
서울특별시 마포구 용강동,0,0,0,상,0,중,0,0,0,0,0,0,0,중,0,중,0,상,중,하,상,0,0,0,최상,중,중,0
서울특별시 마포구 중동,하,하,0,상,0,상,0,0,0,0,0,0,0,0,0,0,0,중,0,상,최상,0,0,0,최상,중,0,0
서울특별시 마포구 창전동,0,0,0,최상,0,중,0,0,0,0,0,0,중,0,0,중,0,상,중,중,최상,0,0,0,최상,중,중,0
서울특별시 마포구 토정동,0,0,0,하,0,하,0,0,0,0,0,0,0,0,0,0,0,0,0,0,하,0,0,0,최상,중,0,0
서울특별시 마포구 하중동,0,0,0,하,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,하,0,0,0,최상,중,0,0
서울특별시 마포구 합정동,하,하,0,상,중,상,0,0,0,0,0,중,하,0,0,중,0,최상,0,하,상,0,0,0,최상,중,0,상
서울특별시 마포구 현석동,0,0,0,중,0,0,0,0,0,0,0,0,0,0,0,하,0,중,0,하,상,0,0,0,최상,중,0,0
서울특별시 서대문구 남가좌동,중,하,0,최상,상,최상,0,0,0,0,0,상,하,중,0,중,0,최상,상,최상,최상,중,0,0,최상,상,중,0
서울특별시 서대문구 냉천동,0,0,0,상,0,중,0,0,0,0,0,0,0,0,0,0,0,상,0,0,중,0,0,0,최상,상,0,0
서울특별시 서대문구 대신동,하,하,중,중,0,하,0,0,0,0,0,0,0,0,0,0,상,상,0,0,0,0,상,0,최상,상,0,중
서울특별시 서대문구 대현동,하,0,0,상,상,상,0,0,0,0,0,0,0,0,0,하,중,최상,0,0,중,0,0,0,최상,상,중,중
서울특별시 서대문구 미근동,0,0,0,0,0,하,0,0,0,0,0,0,0,0,0,0,0,상,0,0,하,0,0,0,최상,상,0,0
서울특별시 서대문구 봉원동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,최상,0,최상,상,0,0
서울특별시 서대문구 북가좌동,하,하,중,최상,상,최상,상,0,0,0,0,중,하,중,0,하,0,최상,최상,상,최상,0,0,0,최상,상,중,상
서울특별시 서대문구 북아현동,중,중,상,상,중,상,0,0,0,0,0,0,0,0,0,중,0,최상,중,상,최상,중,최상,0,최상,상,0,하
서울특별시 서대문구 신촌동,0,0,0,0,0,하,0,중,0,0,0,0,0,0,0,0,최상,최상,0,0,하,0,최상,0,최상,상,0,0
서울특별시 서대문구 연희동,하,상,0,최상,중,상,상,0,0,0,0,중,중,0,0,하,중,최상,상,최상,최상,0,최상,0,최상,상,중,상
서울특별시 서대문구 영천동,0,0,0,중,0,중,0,0,0,0,0,0,0,0,0,0,0,0,0,하,하,0,중,0,최상,상,0,0
서울특별시 서대문구 옥천동,0,0,0,하,0,중,0,0,0,0,0,0,0,0,0,0,0,하,중,0,0,0,중,0,최상,상,중,0
서울특별시 서대문구 창천동,하,0,0,상,중,최상,0,0,상,0,0,0,최상,0,0,중,최상,최상,0,하,하,0,0,0,최상,상,0,상
서울특별시 서대문구 천연동,하,하,0,중,중,0,0,0,0,0,0,0,0,0,0,0,0,하,0,0,중,0,중,0,최상,상,0,0
서울특별시 서대문구 충정로2가,하,하,중,중,0,중,0,0,0,0,0,0,하,0,0,0,0,상,0,0,0,0,0,0,최상,상,0,하
서울특별시 서대문구 충정로3가,0,0,0,하,0,중,0,0,0,0,0,0,0,0,0,0,0,최상,중,0,하,0,0,0,최상,상,0,0
서울특별시 서대문구 합동,0,0,0,하,0,0,0,0,0,0,0,0,0,0,0,하,0,중,0,0,0,0,0,0,최상,상,0,0
서울특별시 서대문구 현저동,0,0,0,중,0,0,0,0,0,0,0,0,0,0,0,하,0,하,중,0,최상,0,최상,0,최상,상,0,하
서울특별시 서대문구 홍은동,상,상,중,최상,상,상,0,중,0,0,0,0,하,0,0,상,0,최상,최상,상,최상,중,최상,중,최상,상,상,0
서울특별시 서대문구 홍제동,최상,하,0,최상,최상,최상,0,0,0,0,0,중,상,중,0,최상,0,최상,최상,상,최상,0,최상,중,최상,상,중,상
서울특별시 서초구 내곡동,하,0,0,상,중,상,0,0,0,0,0,0,0,0,0,0,0,상,0,상,최상,0,중,0,중,중,중,0
서울특별시 서초구 반포동,최상,최상,최상,최상,상,최상,0,중,상,0,0,0,최상,최상,0,상,중,최상,중,최상,최상,0,0,0,중,중,상,최상
서울특별시 서초구 방배동,최상,상,최상,최상,상,최상,상,0,0,상,0,0,최상,중,0,상,0,최상,중,최상,최상,중,중,0,중,중,최상,최상
서울특별시 서초구 서초동,최상,상,최상,최상,최상,최상,최상,0,0,중,0,0,최상,상,0,하,중,최상,상,최상,최상,0,하,0,중,중,최상,최상
서울특별시 서초구 신원동,0,0,0,중,하,중,0,0,0,0,0,0,중,중,0,0,0,상,중,상,최상,0,하,0,중,중,0,하
서울특별시 서초구 양재동,중,하,중,최상,상,최상,0,0,0,상,0,0,최상,중,0,최상,0,최상,중,최상,최상,중,하,0,중,중,중,상
서울특별시 서초구 염곡동,0,0,0,하,0,0,0,0,0,0,0,0,0,0,0,중,0,중,0,중,상,0,중,0,중,중,0,하
서울특별시 서초구 우면동,상,하,0,최상,최상,상,0,0,0,0,0,0,하,0,0,최상,0,최상,0,최상,최상,상,하,0,중,중,중,중
서울특별시 서초구 원지동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,하,0,상,0,하,중,0,중,0,중,중,0,0
서울특별시 서초구 잠원동,중,중,0,최상,상,최상,0,0,상,중,0,0,하,상,0,상,중,최상,중,최상,최상,중,0,0,중,중,0,중
서울특별시 성동구 금호동1가,하,0,중,상,중,상,0,0,0,0,0,0,중,중,0,하,0,상,상,0,최상,0,0,0,최상,상,0,하
서울특별시 성동구 금호동2가,하,0,0,상,중,중,0,0,0,0,0,0,0,0,0,하,0,상,중,하,최상,0,0,0,최상,상,중,0
서울특별시 성동구 금호동3가,0,0,0,중,하,상,0,0,0,0,0,중,하,0,0,상,0,상,0,0,최상,0,0,0,최상,상,0,0
서울특별시 성동구 금호동4가,중,0,0,상,상,상,0,0,0,0,0,0,중,0,0,0,0,상,상,하,0,0,0,0,최상,상,0,하
서울특별시 성동구 도선동,0,0,0,중,0,상,0,0,0,0,0,0,중,0,0,0,0,상,0,0,중,0,0,0,최상,상,0,상
서울특별시 성동구 마장동,중,중,0,상,상,상,0,0,0,0,0,중,하,0,0,0,0,상,중,상,최상,중,0,0,최상,상,0,하
서울특별시 성동구 사근동,중,하,중,하,상,하,0,중,0,0,0,0,하,0,0,0,0,상,중,하,상,0,0,0,최상,상,0,하
서울특별시 성동구 상왕십리동,0,0,0,중,0,중,0,0,0,0,0,0,0,0,0,중,0,중,중,하,상,0,0,0,최상,상,0,0
서울특별시 성동구 성수동1가,중,중,상,상,상,상,상,0,0,0,0,0,최상,0,0,중,최상,최상,최상,중,최상,중,0,0,최상,상,0,하
서울특별시 성동구 성수동2가,중,중,중,상,상,최상,0,0,상,0,0,중,하,0,0,최상,0,최상,상,상,최상,0,0,0,최상,상,상,상
서울특별시 성동구 송정동,하,0,0,중,중,중,0,0,0,0,0,0,하,0,0,하,0,상,중,중,상,0,0,0,최상,상,0,0
서울특별시 성동구 옥수동,중,하,중,상,상,상,0,0,0,0,0,0,0,0,0,상,0,상,중,0,최상,중,0,0,최상,상,중,0
서울특별시 성동구 용답동,하,0,0,중,중,상,0,0,0,0,0,중,중,0,0,하,0,최상,상,0,상,0,0,0,최상,상,중,0
서울특별시 성동구 응봉동,하,하,0,상,중,중,0,0,0,0,0,0,0,0,0,0,0,중,중,중,최상,0,0,0,최상,상,중,0
서울특별시 성동구 하왕십리동,중,0,중,최상,상,최상,0,중,0,0,0,0,하,0,0,상,0,최상,중,상,최상,0,0,0,최상,상,0,하
서울특별시 성동구 행당동,중,중,상,최상,상,최상,0,0,0,중,중,0,중,중,0,중,중,최상,최상,중,최상,0,0,0,최상,상,상,상
서울특별시 성동구 홍익동,0,0,0,중,하,중,상,0,0,0,0,0,0,0,0,0,0,중,0,하,중,0,0,0,최상,상,중,0
서울특별시 성북구 길음동,상,하,중,최상,최상,최상,0,0,상,상,0,중,최상,상,0,최상,0,최상,상,상,최상,중,0,0,최상,최상,중,중
서울특별시 성북구 돈암동,최상,상,중,최상,최상,상,0,0,0,0,0,중,0,0,0,중,중,상,최상,중,최상,0,0,0,최상,최상,중,0
서울특별시 성북구 동선동1가,0,0,0,중,0,상,0,0,0,0,중,0,하,0,0,0,최상,상,0,0,하,0,0,0,최상,최상,0,하
서울특별시 성북구 동선동2가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,상,0,0,0,0,0,0,최상,최상,0,하
서울특별시 성북구 동선동3가,0,0,0,하,0,하,0,0,0,0,0,0,0,0,0,0,0,중,0,0,하,0,0,0,최상,최상,0,상
서울특별시 성북구 동선동4가,0,0,0,중,0,상,0,0,0,0,0,0,0,중,0,0,0,상,0,0,0,0,0,0,최상,최상,0,0
서울특별시 성북구 동선동5가,0,0,0,상,0,0,0,0,0,0,0,0,0,0,0,0,0,중,0,0,0,0,0,0,최상,최상,0,0
서울특별시 성북구 동소문동1가,0,0,0,중,하,중,0,0,0,0,0,0,0,0,0,0,0,중,0,0,중,0,0,0,최상,최상,0,0
서울특별시 성북구 동소문동2가,0,0,0,중,0,상,0,0,0,0,0,0,하,0,0,0,0,중,0,0,상,0,0,0,최상,최상,0,0
서울특별시 성북구 동소문동3가,0,0,0,상,0,중,0,0,0,0,0,0,0,0,0,0,0,하,0,0,중,0,0,0,최상,최상,0,0
서울특별시 성북구 동소문동4가,0,0,0,상,0,중,0,0,0,0,0,0,0,0,0,0,0,중,0,0,0,0,0,0,최상,최상,0,0
서울특별시 성북구 동소문동5가,0,0,0,중,0,중,0,0,0,0,0,중,하,0,0,0,0,하,0,0,0,0,0,0,최상,최상,0,0
서울특별시 성북구 동소문동6가,하,0,0,상,중,상,상,0,0,0,0,0,하,0,0,0,0,중,0,0,0,0,0,0,최상,최상,0,하
서울특별시 성북구 동소문동7가,하,0,0,상,중,하,0,0,0,0,0,0,0,0,0,0,0,중,0,0,0,0,0,0,최상,최상,0,0
서울특별시 성북구 보문동1가,0,0,0,하,0,0,0,0,0,0,0,0,0,0,0,0,0,하,0,0,중,0,0,0,최상,최상,0,0
서울특별시 성북구 보문동2가,0,0,0,중,하,하,0,0,0,0,0,0,0,0,0,0,0,하,0,0,하,0,0,0,최상,최상,0,하
서울특별시 성북구 보문동3가,0,0,0,0,중,0,0,0,0,0,0,0,0,0,0,0,0,0,0,하,0,0,0,0,최상,최상,중,0
서울특별시 성북구 보문동4가,0,0,0,하,하,하,0,0,0,0,0,중,0,0,0,0,0,중,0,0,0,0,0,0,최상,최상,0,0
서울특별시 성북구 보문동5가,0,0,0,하,0,중,0,0,0,0,0,0,0,0,0,0,0,중,0,0,0,0,0,0,최상,최상,0,0
